GSS Product Name,GSS Product ID,Brand,Model,Current Everyday Price,New Everyday Price,Variance In Price,% Variance,,Current Sale Price,New Sale Price,Variance In Price,% Variance
Versace 2166 Pale Gold Grey Gradient (2166-12528G),10244,Versace,2166 12528G,$269.95,,,,,$0.00,#REF!,#REF!,#REF!
Le Specs Paradox Matte Black Grey (1702096),423,Le Specs,1702096,$53.95,$46.46,-$7.49,-13.9%,,$0.00,#REF!,#REF!,#REF!
Le Specs Paradox Gloss Tortoiseshell Green (1802437),503,,1802437,$53.95,$46.46,-$7.49,-13.9%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 4187 Chris Rubber Black Grey Gradient (4187-622/8G),1078,Ray Ban,4187-622-8G,$161.95,$159.61,-$2.34,-1.4%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 4187 Chris Rubber Havana Brown Gradient (4187 856/13),1080,,RB4187 856/13,$161.95,$159.61,-$2.34,-1.4%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Black Ink Prizm Sapphire Iridium (9263-56),10400,Oakley,9263-56,$202.50,$196.46,-$6.04,-3.0%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Matte Black Prizm Black (9263-42),1589,,9263-42,$202.50,$196.46,-$6.04,-3.0%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Polarised Grey Ink Prizm Ruby Iridium (9263-57),10401,Oakley,9263-57,$256.50,$241.46,-$15.04,-5.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Polarised Matte Black Jade Prizm (9263-45),1591,,9263-45,$256.50,$241.46,-$15.04,-5.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Polarised Polished Black Prizm Black (9263-41),1587,,9263-41,$256.50,$241.46,-$15.04,-5.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Polarised Matte Black Prizm Tungsten (9263-40),1585,,9263-40,$256.50,$241.46,-$15.04,-5.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Turbine Polarised Polished Black Prizm Deep H20 (9263-14),1583,,9263-14,$256.50,$241.46,-$15.04,-5.9%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn 50-50 Matte Black Bronze Gold Spectra (SPSF5BKOG),10474,Spy Flynn,SPSF5BKOG,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn 50-50 Matte Crystal Grey Green Red Spectra (SPSF5MC130),10475,,SPS-F5MC130,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn 50-50 Teal Grey Green Pink Spectra (SPSF5TE66),10476,,SPS-F5TE66,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn 50-50 Matte Black Rose Silver Spectra (SPSF5BK94R),10473,,SPS-F5BK94R,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn Matte Black Light Blue Spectra (SPFYWW17L),2028,,SPFYWW17L,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn Soft Matte Black Happy Blue Spectra (SPFYBTK89),2024,,SPFYBTK89,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn Matte black with Happy Green Spectra (SPFYBKOE),2020,,SPFYBKOE,$199.95,$200.96,$1.01,0.5%,,$0.00,#REF!,#REF!,#REF!
Spy Flynn Soft Matte Black Grey Green (SPSFYBT09),10477,Spy Flynn,SPSFYBTO9,$175.00,,,,,$0.00,#REF!,#REF!,#REF!
Spy Flynn Shiny and Matte Black Grey (SPFYBSK00),2022,,SPFYBSK00,$174.95,,,,,$0.00,#REF!,#REF!,#REF!
Dragon Remix Matte Black Lynxx Brown LL (42000-019),10311,Dragon,42000-019,$175.00,,,,,$0.00,#REF!,#REF!,#REF!
Oakley Sylas Polarised Matte Black Prizm Black (9448-06),10428,Oakley,9448-06,$211.50,$205.46,-$6.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Sylas Polarised Black Ink Prizm Ruby (9448-05),10427,,9448-05,$211.50,$205.46,-$6.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Sylas Polished Black Prizm Grey (9448-01),10423,Oakley,9448-01,$139.50,$135.46,-$4.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Sylas Polished Rootbeer Prizm Bronze (9448-02),10424,,9448-02,$139.50,$135.46,-$4.04,-2.9%,,$0.00,#REF!,#REF!,#REF!
Oakley Sylas Polished Clear Prizm Sapphire Iridium (9448-04),10426,Oakley,9448-04,$160.95,$152.46,-$8.49,-5.3%,,$0.00,#REF!,#REF!,#REF!
Oakley Sylas Matte Black Prizm Black Iridium (9448-03),10425,,9448-03,$160.95,$152.46,-$8.49,-5.3%,,$0.00,#REF!,#REF!,#REF!
Dragon Baile Polarised H20 Matte Crystal Shadow Blue (35075-416),915,Dragon,35075-416,$199.95,$201.00,$1.05,0.5%,,$0.00,#REF!,#REF!,#REF!
Dragon Baile Polarised H20 Mt Black Grey (35075-003),913,Dragon,35075-003,$192.95,$201.00,$8.05,4.2%,,$0.00,#REF!,#REF!,#REF!
